#QPS	Avg	50th	90th	95th	99th and confidence
9988.511358608344	114.847	63.897 63.878 63.916 	127.38 103.6 561.61 	563.837 563.768 563.911 	565.704 565.545 566.064 
19902.75619123666	112.988	63.036 63.015 63.058 	326.378 71.405 560.78 	563.001 562.912 563.081 	564.413 564.337 564.5 
29937.631185007485	114.175	62.553 62.527 62.577 	559.919 169.375 560.498 	562.496 562.404 562.606 	564.324 564.237 564.475 
39993.790149036424	118.626	62.298 62.27 62.329 	533.78 286.286 560.266 	562.214 562.1 562.342 	573.65 568.712 578.982 
49876.78715293159	147.792	62.962 62.899 63.035 	560.429 559.992 560.656 	563.146 562.876 563.409 	721.85 703.886 743.333 
60233.164939395516	1476.81	311.671 301.248 323.171 	3649.297 3541.768 3781.472 	7036.622 6696.453 7320.312 	18743.612 17662.078 19660.285 
69985.40380527696	2740.934	924.089 906.522 940.508 	7299.497 7101.884 7540.739 	12108.364 11733.35 12467.122 	27196.858 25959.65 28451.164 
79404.7270265649	71409.872	49223.342 48089.398 50433.647 	174102.486 172190.781 176148.919 	205912.221 203810.468 208088.492 	257418.802 254320.252 260286.693 
79412.9175732753	405949.396	274937.299 268541.156 281001.675 	996940.744 986513.456 1.008884629e+06 	1.184758007e+06 1.173404724e+06 1.19809848e+06 	1.484394073e+06 1.468392565e+06 1.502841775e+06 
78925.42190854557	929372.633	624325.81 608393.985 641616.834 	2.292150306e+06 2.264686496e+06 2.320876645e+06 	2.736715499e+06 2.710070423e+06 2.76676883e+06 	3.326710497e+06 3.299523043e+06 3.365671364e+06 
79258.25041173311	1.107186085e+06	502374.394 481263.112 523685.217 	3.399193167e+06 3.330953995e+06 3.471002858e+06 	4.404225824e+06 4.349819599e+06 4.461680789e+06 	5.616890128e+06 5.552312641e+06 5.700235154e+06 
