#QPS	Avg	50th	90th	95th	99th and confidence
9964.976084057398	114.371	113.679 113.664 113.694 	115.05 115.019 115.081 	115.79 115.712 115.894 	141.442 140.804 142.7 
20015.992294099215	113.022	113.022 113.005 113.041 	114.435 114.411 114.46 	114.859 114.826 114.899 	116.612 116.316 116.951 
30051.616998630227	112.897	112.437 112.416 112.459 	114.238 114.207 114.276 	114.998 114.913 115.083 	130.633 128.974 133.357 
39888.86316739973	114.446	112.101 112.077 112.125 	115.973 115.622 116.501 	130.908 129.757 132.036 	161.183 159.585 163.045 
49615.613325404716	121.733	112.269 112.237 112.3 	147.388 146.326 148.568 	167.557 165.963 169.047 	225.705 221.046 231.93 
60048.87214411116	1115.332	202.17 197.819 206.31 	2710.553 2668.19 2758.458 	4489.337 4271.173 4680.975 	13974.526 13380.756 14833.637 
70138.92523023376	6182.772	1671.243 1632.671 1715.71 	17054.06 16489.355 17550.224 	28770.814 27897.112 29881.062 	61800.779 58763.683 65286.964 
79004.19535106503	44680.714	33014.806 32440.009 33577.449 	100976.58 99423.898 102283.193 	126769.886 124961.427 128704.676 	182576.155 178146.394 187418.422 
79053.53549241903	388165.667	297585.044 292567.642 302534.63 	860611.598 850108.913 871374.127 	1.058637775e+06 1.044512485e+06 1.073494834e+06 	1.471383312e+06 1.447435883e+06 1.499363893e+06 
79046.4309909928	985581.315	794639.569 782164.755 807520.515 	2.127322195e+06 2.100249267e+06 2.153683428e+06 	2.566327146e+06 2.53498345e+06 2.599818525e+06 	3.49894804e+06 3.44626111e+06 3.572445046e+06 
79065.35131073109	1.277512485e+06	840712.092 818559.765 867017.267 	3.258388842e+06 3.218522705e+06 3.299105599e+06 	4.059299366e+06 4.000401986e+06 4.128635206e+06 	5.639193802e+06 5.541688663e+06 5.738728456e+06 
