#QPS	Avg	50th	90th	95th	99th and confidence
9994.038683358353	174.62	98.75 98.167 99.407 	567.872 562.751 576.174 	602.91 600.236 605.991 	739.439 724.411 755.414 
20009.462363978517	187.756	89.403 89.191 89.606 	582.194 577.589 584.924 	599.205 597.212 601.204 	946.939 921.494 976.05 
29995.630083028424	220.507	87.363 87.134 87.627 	586.25 585.466 587.075 	695.526 677.273 719.503 	1120.198 1101.774 1145.175 
40134.59697156814	283.797	91.876 90.384 93.751 	692.452 678.565 709.338 	962.257 945.09 980.19 	1446.229 1414.127 1487.931 
50117.679449911484	413.051	186.93 172.876 201.177 	1043.246 1028.529 1058.303 	1368.939 1344.696 1392.479 	2111.651 2066.868 2183.76 
59966.31446741293	832.447	492.484 482.709 502.564 	1900.284 1860.986 1936.544 	2780.563 2710.547 2861.251 	6790.671 6448.394 7177.72 
68893.37022099263	58075.542	1132.742 1108.998 1159.928 	210252.534 193485.519 226098.335 	445006.852 434085.518 457469.559 	718514.758 706765.433 734279.808 
75071.19544349161	213069.979	28355.957 26674.688 30467.68 	665190.798 642392.73 688425.778 	1.236092385e+06 1.19412004e+06 1.27915026e+06 	1.901054987e+06 1.872996796e+06 1.934329678e+06 
78172.91876028058	609466.633	302981.028 294771.853 310606.752 	1.722999085e+06 1.683057686e+06 1.761253158e+06 	2.395953655e+06 2.345245887e+06 2.454284242e+06 	3.378236777e+06 3.346684035e+06 3.415846102e+06 
78647.5619255803	1.374860946e+06	1.196470773e+06 1.177576264e+06 1.218382187e+06 	2.901199747e+06 2.872772411e+06 2.930565209e+06 	3.38559159e+06 3.35723162e+06 3.415443594e+06 	3.933856859e+06 3.906074999e+06 3.962306516e+06 
79060.77240335208	1.291434658e+06	701180.021 660530.049 738764.165 	3.274648618e+06 3.251405306e+06 3.297141732e+06 	3.643860452e+06 3.618819742e+06 3.672103201e+06 	4.26898962e+06 4.229951882e+06 4.318186289e+06 
