#QPS	Avg	50th	90th	95th	99th and confidence
9962.23943654554	116.851	64.687 64.66 64.713 	331.83 99.577 562.62 	564.643 564.522 564.758 	574.476 568.382 583.818 
20009.994872565374	115.351	64.282 64.257 64.307 	352.566 123.769 562.513 	564.27 564.164 564.368 	565.791 565.726 565.884 
29912.44362854851	117.944	64.389 64.365 64.417 	459.744 257.114 562.456 	564.409 564.295 564.521 	566.491 566.273 566.928 
39855.773533548425	131.269	64.853 64.821 64.881 	562.728 562.02 563.021 	565.123 564.989 565.247 	624.182 613.991 642.685 
49884.67051098296	195.224	67.256 66.968 67.611 	564.897 564.645 565.146 	607.997 602.03 617.539 	1543.961 1407.283 1713.007 
59907.98309790237	854.786	147.499 143.667 150.866 	1672.976 1602.225 1746.521 	3541.348 3370.722 3729.413 	13091.495 12381.567 13907.669 
67120.53891357317	147149.999	33510.989 29844.908 38149.612 	445570.994 441834.921 450900.456 	524411.72 519431.512 529116.596 	645049.405 640400.986 650013.41 
68480.13743525848	548592.451	272406.603 251906.614 293373.978 	1.505256564e+06 1.49246524e+06 1.517834178e+06 	1.70483647e+06 1.689517983e+06 1.71971816e+06 	1.991528552e+06 1.977748542e+06 2.009843961e+06 
68545.96379933943	1.211687854e+06	875757.196 811192.364 933451.128 	3.154062191e+06 3.132036425e+06 3.178584057e+06 	3.465061561e+06 3.445745833e+06 3.487580367e+06 	3.85818791e+06 3.838741758e+06 3.880101732e+06 
68513.08819375177	1.076158875e+06	85305.139 81718.006 89644.19 	3.825545905e+06 3.78903419e+06 3.863466034e+06 	4.342476517e+06 4.309802291e+06 4.3761235e+06 	5.025960066e+06 4.976219882e+06 5.090070862e+06 
68704.61440619495	182601.582	51899.084 51881.893 51922.758 	57613.351 57204.914 57640.869 	361837.473 357009.278 364982.159 	5.213166099e+06 4.90232287e+06 5.298663389e+06 
