#QPS	Avg	50th	90th	95th	99th and confidence
9994.041348428584	115.15	114.05 114.026 114.072 	115.595 115.571 115.627 	116.469 116.323 116.63 	142.557 142.164 143.151 
19883.89136427647	114.535	113.926 113.9 113.951 	115.478 115.454 115.504 	116.076 116.021 116.146 	129.878 129.033 131.031 
30108.239986736247	116.472	114.042 114.016 114.07 	116.047 115.98 116.127 	121.294 120.268 122.727 	155.914 153.434 159.59 
39910.012227197374	123.192	114.348 114.323 114.374 	131.128 130.187 132.12 	151.31 149.808 152.839 	235.422 228.716 244.592 
49928.68568670567	155.862	115.35 115.295 115.405 	180.707 178.521 183.474 	251.521 246.332 258.383 	710.066 645.231 827.432 
60082.4507498765	636.481	155.191 154.135 156.313 	823.463 784.101 860.495 	2319.791 2141.859 2543.61 	11045.246 10327.405 11784.19 
66898.90383434652	157929.726	53149.809 47006.358 58589.873 	456023.877 452026.536 460099.755 	528217.752 524152.949 532042.669 	617060.193 614187.133 620793.429 
68152.04652632505	579839.777	422581.371 406523.27 439914.426 	1.445225205e+06 1.433010414e+06 1.457586763e+06 	1.643268456e+06 1.630115279e+06 1.658284519e+06 	1.912682897e+06 1.898190204e+06 1.93033031e+06 
68522.6702292122	1.219860553e+06	963905.21 916738.543 1.006567341e+06 	3.085604817e+06 3.063898999e+06 3.107183434e+06 	3.389543853e+06 3.370917645e+06 3.411602487e+06 	3.793163748e+06 3.769983883e+06 3.817122152e+06 
68813.85066674933	975195.472	52122.621 52110.104 53365.311 	3.632247769e+06 3.594937443e+06 3.672302225e+06 	4.162241147e+06 4.130786435e+06 4.196090668e+06 	4.735258617e+06 4.702132379e+06 4.776641823e+06 
68926.32882064216	255295.142	51992.779 51989.943 51995.224 	52069.813 52068.66 52071.244 	667583.528 660959.798 675243.633 	5.048641233e+06 4.533088582e+06 6.515029829e+06 
