#QPS	Avg	50th	90th	95th	99th and confidence
9934.512802006875	193.854	122.993 122.916 123.07 	159.231 153.023 166.943 	609.817 529.817 697.806 	1825.401 1794.814 1869.218 
20072.991560233662	203.209	124.255 124.153 124.361 	207.353 202.7 211.42 	683.604 606.806 761.863 	1901.994 1869.563 1953.875 
30028.969391642775	221.723	127.045 126.895 127.215 	229.163 227.036 231.794 	816.803 760.27 892.432 	2029.169 1986.278 2075.439 
40003.67992456155	242.854	132.533 132.229 132.868 	296.651 284.879 311.213 	945.083 884.53 1006.7 	2137.189 2093.766 2178.962 
50248.144127255655	288.857	151.299 150.206 152.446 	496.286 464.37 528.399 	1159.595 1108.983 1219.312 	2351.407 2286.403 2415.371 
60025.94592288355	389.376	200.431 198.89 202.034 	888.481 855.961 922.518 	1588.647 1540.645 1643.768 	2968.328 2890.168 3089.613 
69764.26366017808	1118.874	496.223 488.896 503.568 	2916.517 2850.413 2993.797 	4209.547 4110.647 4298.934 	7593.893 7381.177 7889.051 
78056.95577872463	84276.822	60316.799 59181.815 61527.36 	198650.46 195554.805 201756.645 	248629.914 245183.301 252131.496 	322088.658 319120.542 327776.424 
78468.6751276954	385790.517	228911.685 224344.921 233075.288 	922592.372 902548.476 943981.324 	1.328459784e+06 1.297253679e+06 1.362205014e+06 	2.555302767e+06 2.452884909e+06 2.660481156e+06 
78521.67321976408	1.014531494e+06	684350.054 673279.465 695806.703 	2.466893482e+06 2.417986754e+06 2.518034377e+06 	3.351200997e+06 3.291172874e+06 3.417047449e+06 	4.467471614e+06 4.426412201e+06 4.516290049e+06 
78587.85648574057	1.610445448e+06	1.518152781e+06 1.494652799e+06 1.542480573e+06 	3.669547265e+06 3.632494739e+06 3.705620015e+06 	4.26292004e+06 4.226300339e+06 4.298157443e+06 	5.0539855e+06 5.010430421e+06 5.099322657e+06 
