#QPS	Avg	50th	90th	95th	99th and confidence
9967.512069307586	195.807	71.923 71.852 71.993 	571.057 570.656 571.418 	677.881 626.526 751.065 	1831.085 1789.429 1877.615 
19946.49568218005	214.758	73.095 72.997 73.196 	572.936 572.416 573.477 	814.43 756.883 886.119 	1893.677 1852.94 1941.021 
30000.217995770883	241.432	76.673 76.439 76.914 	580.874 579.134 583.292 	939.134 895.084 985.657 	1988.108 1944.763 2037.162 
39743.095844569536	278.383	86.938 86.117 87.852 	621.699 615.205 627.92 	1083.577 1044.993 1119.937 	2135.07 2083.021 2187.912 
49932.735485797784	383.382	127.813 125.827 129.758 	948.028 913.37 980.522 	1598.534 1550.506 1650.775 	2765.118 2692.181 2861.548 
59748.75470651606	691.85	301.566 293.808 309.853 	1828.757 1786.009 1876.724 	2747.78 2679.023 2813.058 	4859.54 4724.713 5012.466 
69979.91716873745	4645.157	2588.033 2544.828 2629.747 	11398.507 11178.168 11629.772 	16191.903 15832.521 16541.695 	29035.954 28025.346 30005.898 
72898.12052423929	208770.722	164541.718 161221.336 167975.387 	471590.783 465858.588 478058.939 	577523.096 569691.062 586282.212 	742834.409 735945.788 751500.856 
73557.63125238115	716340.178	609763.548 599197.575 621808.607 	1.544526804e+06 1.530557844e+06 1.559797502e+06 	1.791236796e+06 1.774123391e+06 1.80776864e+06 	2.104468197e+06 2.086806404e+06 2.123202302e+06 
74169.1815711003	1.416624795e+06	1.363569009e+06 1.343476101e+06 1.382255306e+06 	2.735305178e+06 2.71770153e+06 2.75536056e+06 	3.037279116e+06 3.009007334e+06 3.068183023e+06 	3.658260087e+06 3.630475262e+06 3.699413522e+06 
73996.63210777254	1.62767413e+06	1.289839562e+06 1.286823398e+06 1.293348301e+06 	3.177835235e+06 2.908951051e+06 3.422563173e+06 	5.298014996e+06 5.220592588e+06 5.38640269e+06 	6.757495579e+06 6.683441526e+06 6.832877215e+06 
