#QPS	Avg	50th	90th	95th	99th and confidence
9995.310677295798	197.01	73.594 73.501 73.686 	572.563 572.221 572.972 	646.625 619.82 714.13 	1848.891 1796.261 1890.375 
19990.000124998438	215.415	75.264 75.143 75.392 	575.16 574.541 575.914 	790.954 738.169 860.758 	1932.644 1894.516 1982.674 
30150.216094381547	234.841	78.938 78.724 79.182 	580.893 579.49 582.622 	893.829 844.225 947.13 	1992.812 1950.161 2038.538 
39810.104272653865	271.941	87.23 86.661 87.785 	609.85 604.639 616.937 	1053.714 1017.584 1101.699 	2219.903 2166.55 2283.2 
49928.05232630812	333.395	119.799 117.903 121.796 	717.683 698.425 739.829 	1245.377 1199.647 1301.694 	2571.273 2492.463 2663.988 
59871.79282061128	432.407	204.446 199.872 208.476 	997.416 975.602 1022.038 	1531.632 1490.131 1584.266 	2815.869 2744.685 2908.815 
69680.01066631112	1298.141	727.407 716.635 740.181 	2983.499 2915.15 3058.273 	4438.221 4321.351 4565.877 	9159.973 8795.26 9624.894 
77958.88164473421	95866.513	66845.672 65576.789 68122.504 	230293.255 226988.444 233814.786 	290852.548 286627.061 296001.533 	396006.579 390933.988 403292.204 
78306.18996739596	413481.513	305601.648 300089.083 311008.289 	955328.382 943104.858 967653.471 	1.167601255e+06 1.153915765e+06 1.183535165e+06 	1.591967835e+06 1.559346256e+06 1.629041108e+06 
78691.7851334129	899599.966	587289.106 574559.835 600208.843 	2.203342986e+06 2.175074185e+06 2.233618835e+06 	2.668255337e+06 2.639213647e+06 2.697842596e+06 	3.258530276e+06 3.22370795e+06 3.3013285e+06 
78870.33399312345	1.641482844e+06	1.262624329e+06 1.24442386e+06 1.280616666e+06 	3.824222997e+06 3.716991036e+06 3.943484688e+06 	5.860929399e+06 5.766948543e+06 5.955068548e+06 	7.216583862e+06 7.169854378e+06 7.27334719e+06 
