#QPS	Avg	50th	90th	95th	99th and confidence
10008.237976384467	192.344	122.963 122.888 123.034 	160.215 152.538 167.451 	604.036 519.296 688.989 	1822.012 1783.294 1865.05 
20025.73465901577	205.767	124.53 124.42 124.634 	208.981 204.978 212.892 	717.437 631.553 782.83 	1923.868 1893.98 1963.746 
30057.59884802304	221.98	127.525 127.361 127.693 	231.067 228.63 233.753 	794.259 732.693 868.406 	2032.745 1994.264 2093.902 
40074.06827791254	248.52	133.135 132.824 133.47 	316.605 302.171 329.604 	987.565 924.358 1052.547 	2189.766 2144.182 2243.985 
50161.52859516121	282.9	149.295 148.343 150.463 	420.199 397.597 446.777 	1113.108 1052.682 1186.213 	2428.619 2365.272 2514.456 
60036.17890257329	447.055	202.771 201.331 204.443 	1068.382 1028.269 1114.846 	1940.137 1882.551 2006.164 	3757.651 3629.276 3889.019 
69908.38299282224	1619.317	567.287 557.474 577.135 	4317.013 4220.834 4442.101 	6974.173 6774.357 7200.14 	12995.3 12616.043 13480.843 
78160.60805750187	97442.306	65462.343 64228.285 66675.107 	236802.148 233048.509 240775.736 	303832.325 299347.831 309621.156 	418927.954 412618.147 425737.747 
78470.0181393107	437389.687	346243.092 340452.815 353154.947 	942939.344 931347.91 955750.309 	1.173485162e+06 1.15706166e+06 1.192395829e+06 	1.637640882e+06 1.61725377e+06 1.661305399e+06 
78508.01669536557	976877.58	775685.882 764459.416 787492.069 	2.130015041e+06 2.108117236e+06 2.152766323e+06 	2.570709248e+06 2.536546117e+06 2.607773152e+06 	3.393587798e+06 3.356315919e+06 3.437331685e+06 
78584.17096984509	1.008782843e+06	567241.599 547429.43 586739.583 	2.832660725e+06 2.802584159e+06 2.867037257e+06 	3.33845239e+06 3.305952226e+06 3.373321792e+06 	4.010732491e+06 3.954674297e+06 4.079955494e+06 
