#QPS	Avg	50th	90th	95th	99th and confidence
10030.639249586051	130.783	121.701 121.65 121.756 	160.488 157.086 163.836 	203.939 201.85 206.19 	239.702 235.432 247.701 
19936.99081911935	143.55	122.274 122.195 122.357 	212.873 210.919 214.8 	234.094 232.801 236.061 	329.508 325.225 334.384 
29878.414383078092	162.871	124.191 124.071 124.317 	250.335 246.07 254.709 	311.411 307.613 315.23 	426.57 418.997 436.353 
39909.842051093336	192.856	148.348 146.398 150.57 	326.895 323.593 330.239 	400.751 394.682 405.908 	570.118 558.706 586.226 
50060.54824410092	247.515	201.43 199.422 203.505 	451.973 447.137 457.712 	559.887 553.146 567.982 	801.307 784.15 827.021 
60346.54305255611	362.854	291.707 288.197 294.846 	698.149 689.538 705.924 	868.63 857.809 880.446 	1230.072 1209.338 1260.667 
69771.29449787487	8425.66	709.81 699.198 721.433 	23229.087 21447.079 25117.007 	60966.017 58477.756 63821.89 	107940.455 105916.48 109905.3 
76577.74320124475	123983.73	41457.864 40296.214 42816.709 	393666.548 385072.377 403032.398 	551089.391 539873.606 564079.328 	865157.731 848340.007 886192.931 
78443.51914627245	503505.2	319758.292 313111.357 326062.143 	1.250085579e+06 1.225203155e+06 1.276641833e+06 	1.697547093e+06 1.668231226e+06 1.73016164e+06 	2.425949957e+06 2.379436751e+06 2.480901075e+06 
78503.79161918914	1.092876305e+06	902493.972 889658.362 915397.312 	2.332497765e+06 2.30092776e+06 2.365878262e+06 	2.886772878e+06 2.850731457e+06 2.923622528e+06 	3.660120865e+06 3.623869768e+06 3.703023892e+06 
78584.17096984509	1.485464273e+06	1.009532855e+06 976768.453 1.042666149e+06 	3.736209241e+06 3.710041923e+06 3.762852289e+06 	4.126255475e+06 4.102041463e+06 4.150188238e+06 	4.807564457e+06 4.767334156e+06 4.853071338e+06 
