#QPS	Avg	50th	90th	95th	99th and confidence
10004.440655120963	156.429	70.216 70.163 70.27 	568.139 567.824 568.418 	571.917 571.635 572.156 	1524.375 1449.265 1620.384 
19931.48839921476	182.905	70.138 70.085 70.191 	569.285 569.051 569.547 	576.318 574.061 595.123 	1796.495 1746.443 1853.434 
29984.776316652613	216.061	70.522 70.46 70.582 	571.501 571.179 571.838 	967.737 925.225 1027.112 	1943.57 1903.71 1995.104 
40079.01806405743	232.168	71.415 71.339 71.493 	573.388 572.711 574.263 	987.889 943.783 1037.135 	1974.626 1929.561 2021.021 
49853.30498763042	314.116	80.21 78.939 81.684 	768.558 736.886 803.472 	1372.577 1331.845 1414.932 	2338.902 2271.428 2430.378 
59947.82826659983	501.316	261.827 255.718 268.382 	1170.289 1141.808 1201.627 	1965.422 1915.507 2008.672 	3459.51 3369.539 3553.881 
69968.90093297201	1328.745	767.609 757.766 778.209 	3272.938 3196.312 3343.812 	4578.348 4491.28 4697.57 	8294.527 8052.014 8565.783 
78080.8767649294	86287.592	78784.803 77707.806 79794.812 	167101.444 165772.47 168621.903 	192964.319 191415.588 194881.112 	239210.242 236482.159 242450.823 
78612.86646897328	464365.224	411039.609 405385.601 416313.017 	961320.679 953773.374 969601.19 	1.083514789e+06 1.076518595e+06 1.09195413e+06 	1.251844395e+06 1.243751805e+06 1.262209227e+06 
78540.5154604125	1.132832499e+06	1.07329763e+06 1.056826325e+06 1.089708017e+06 	2.146049963e+06 2.134032858e+06 2.159287193e+06 	2.357470075e+06 2.34301997e+06 2.373505554e+06 	2.666706611e+06 2.651295561e+06 2.685193175e+06 
78724.05955415382	1.481937105e+06	1.664526283e+06 1.643616065e+06 1.684669702e+06 	2.935749257e+06 2.923326798e+06 2.949018802e+06 	3.188960038e+06 3.16304106e+06 3.218447127e+06 	4.2436916e+06 4.187548514e+06 4.304681415e+06 
