#QPS	Avg	50th	90th	95th	99th and confidence
10006.23731503721	156.752	120.796 120.739 120.85 	132.38 130.367 134.931 	154.921 153.439 157.071 	1501.138 1421.379 1574.233 
20005.59992300106	183.217	119.86 119.814 119.909 	137.263 134.25 140.478 	524.928 451.96 597.175 	1756.114 1720.386 1793.701 
29822.63336996597	195.339	120.055 120.006 120.107 	168.822 162.543 175.523 	704.953 630.104 764.349 	1848.805 1805.11 1898.066 
39907.82214313517	258.391	121.256 121.182 121.33 	456.756 389.785 523.411 	1291.995 1250.658 1339.813 	2186.847 2138.422 2241.449 
50146.61261038444	293.341	125.666 125.313 126.106 	541.146 472.886 611.476 	1453.377 1405.355 1514.076 	2495.801 2390.36 2600.907 
60105.803386761676	500.896	178.75 177.192 180.201 	1694.397 1652.517 1732.601 	2269.575 2235.017 2311.067 	3866.24 3783.404 3955.046 
70063.18472900164	1387.462	533.831 525.958 543.307 	3771.26 3702.76 3838.782 	4844.727 4762.113 4944.328 	7448.82 7262.109 7623.519 
78182.51269185271	90882.533	82781.217 81798.481 83885.746 	176147.253 174764.812 177487.374 	201891.226 200060.667 203865.683 	252828.484 249647.559 256496.489 
78523.50570399617	456863.59	416751.262 411428.083 422707.324 	901031.693 895307.604 906903.472 	983906.395 979242.682 988769.261 	1.063754966e+06 1.060790879e+06 1.067205645e+06 
78536.90828202669	1.157221578e+06	1.139031474e+06 1.125282158e+06 1.152636608e+06 	2.0918265e+06 2.083265024e+06 2.102214789e+06 	2.235642618e+06 2.226569511e+06 2.245625283e+06 	2.465836727e+06 2.454665962e+06 2.476866951e+06 
78583.67098784444	1.648144336e+06	1.453058485e+06 1.428681812e+06 1.47780797e+06 	3.764912478e+06 3.733697015e+06 3.796539721e+06 	4.27006448e+06 4.237240325e+06 4.301812692e+06 	5.249145523e+06 5.201564455e+06 5.303279369e+06 
