#QPS	Avg	50th	90th	95th	99th and confidence
10019.845290996713	147.501	120.69 120.64 120.733 	126.95 126.701 127.328 	149.199 148.16 150.208 	1299.242 1190.968 1418.162 
19946.378163570225	169.889	120.053 120.008 120.1 	129.566 128.195 132.064 	216.489 207.344 225.85 	1695.607 1652.68 1750.969 
29955.630843013983	188.874	120.453 120.402 120.5 	184.439 179.219 190.21 	538.137 467.596 608.499 	1793.808 1753.945 1853.711 
40092.77775013956	217.405	121.7 121.626 121.779 	233.029 228.568 245.088 	852.391 806.986 917.684 	1912.706 1879.47 1958.991 
50201.028106602564	260.749	126.879 126.43 127.425 	392.076 361.477 432.507 	1103.766 1045.072 1165.874 	2195.424 2147.84 2263.815 
60172.62844219414	395.759	168.213 166.743 169.544 	1109.648 1063.787 1161.13 	1907.699 1858.32 1959.713 	3126.984 3038.575 3253.011 
70220.70048705304	1375.7	547.437 533.693 562.734 	3638.114 3592.052 3691.907 	4718.351 4638.6 4792.592 	7571.178 7348.645 7769.238 
78274.52556802842	80919.14	64117.836 63091.317 65145.305 	175686.475 173667.563 177654.531 	209863.03 207816.94 212711.404 	278466.133 273897.444 284807.501 
78441.17611765976	386409.466	274670.846 270357.002 278543.947 	891189.046 878189.008 905728.235 	1.165671437e+06 1.146120684e+06 1.188259384e+06 	1.585041129e+06 1.56986212e+06 1.608622953e+06 
78516.61560122557	1.007490976e+06	860588.839 849307.558 871650.811 	2.177967705e+06 2.155337344e+06 2.199612565e+06 	2.530150314e+06 2.507098666e+06 2.554191012e+06 	3.106395587e+06 3.077903229e+06 3.143317988e+06 
78608.35566577337	1.347081478e+06	1.50309338e+06 1.487285588e+06 1.519934713e+06 	2.771247572e+06 2.753321121e+06 2.78840747e+06 	3.04681375e+06 3.028190905e+06 3.064908889e+06 	3.452870117e+06 3.433493275e+06 3.4755998e+06 
