#QPS	Avg	50th	90th	95th	99th and confidence
9965.83899005756	136.502	64.645 64.609 64.685 	562.416 562.171 562.584 	564.883 564.75 565.03 	610.013 605.445 616.213 
19945.01564606616	162.584	64.939 64.903 64.976 	562.613 562.49 562.745 	565.772 565.596 566.061 	861.839 827.763 914.885 
29911.049636686686	185.567	65.824 65.74 65.921 	563.303 563.029 563.742 	588.527 585.05 592.625 	956.652 932.435 988.656 
39999.990000252496	213.657	85.384 84.019 86.915 	565.336 565.077 565.708 	609.676 607.043 612.651 	1040.934 1019.167 1064.557 
49756.62340008593	253.746	109.936 108.623 111.137 	591.149 588.045 594.34 	684.383 672.384 703.996 	1137.62 1110.729 1166.798 
59768.29050416381	345.782	182.49 176.891 189.022 	681.665 673.821 693.589 	966.654 947.893 988.211 	2186.439 2071.809 2324.994 
69946.42581560387	1133.881	627.964 619.903 635.886 	2657.04 2598.236 2712.892 	4023.656 3923.582 4133.825 	8153.51 7863.855 8431.198 
77160.26081074122	108170.128	60477.16 59028.048 62032.204 	289859.859 283519.58 295126.482 	384494.558 377540.842 391807.256 	545430.552 536913.81 554944.973 
78329.37596590514	475038.16	367689.586 361755.571 373255.67 	1.056819066e+06 1.040495069e+06 1.073900113e+06 	1.321412314e+06 1.305942842e+06 1.338615536e+06 	1.762018656e+06 1.730722257e+06 1.796184202e+06 
78302.86788528459	1.129245566e+06	983757.923 971065.669 996667.166 	2.325321213e+06 2.30211297e+06 2.349979691e+06 	2.704115804e+06 2.679580529e+06 2.731600455e+06 	3.276339306e+06 3.24810793e+06 3.310698726e+06 
79121.33514659414	1.410464131e+06	1.463679504e+06 1.442909702e+06 1.484310684e+06 	3.029809719e+06 3.004657044e+06 3.05596453e+06 	3.47856743e+06 3.445562773e+06 3.513814188e+06 	4.305043695e+06 4.257896454e+06 4.358386962e+06 
